COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Medium	p_Small	p_Large	N_Medium	N_Small	N_Large
Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC, RCK domain (TrkA) (PDB:4XTT) (PUBMED:23815639;25957408;31868587;32095817)	34.81484244224426	2.7545649653720456e-8	1.0416231229881613e-6	Large	COG0569	GC_00021045, GC_00047859	0.0066	0	0.2667	151	15	15
Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor) (SpoIIAA) (PDB:1AUZ)!!!Anti-sigma regulatory factor (Ser/Thr protein kinase) (RsbW) (PDB:1TIL)	34.814842442244164	2.7545649653721825e-8	1.0416231229881613e-6	Small	COG1366!!!COG2172	GC_00017950	0.0066	0.2667	0	151	15	15
Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!PAS domain (PAS) (PDB:2MWG)!!!GAF domain (GAF)!!!Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain (PleD) (PDB:1W25)	34.814842442244164	2.7545649653721825e-8	1.0416231229881613e-6	Small	COG0642!!!COG0784!!!COG2202!!!COG2203!!!COG3706	GC_00017956	0.0066	0.2667	0	151	15	15
ABC-type Fe3+-hydroxamate transport system, periplasmic component (FepB) (PDB:1ESZ)	34.69408981495259	2.9259986361277483e-8	1.0951594895221001e-6	Small, Large	COG0614	GC_00007050, GC_00008190, GC_00011867, GC_00016550, GC_00025778, GC_00038003	0.2914	0.6667	1	151	15	15
Uncharacterized protein, contains DUF2293 domain	34.36217646615505	3.4542056267138605e-8	1.254458043444202e-6	Medium	COG5586	GC_00005794	0.6689	0	0.2	151	15	15
G:T-mismatch repair DNA endonuclease Vsr, very short patch repair protein (Vsr) (PDB:1CW0)	34.36217646615505	3.4542056267138605e-8	1.254458043444202e-6	Medium	COG3727	GC_00006384, GC_00007224, GC_00027870, GC_00052344, GC_00061147, GC_00062410, GC_00065605, GC_00069482, GC_00072981, GC_00076442	0.6689	0	0.2	151	15	15
Predicted dehydrogenase (MviM) (PDB:3UUW)!!!Threonine dehydrogenase or related Zn-dependent dehydrogenase (Tdh) (PDB:4A2C)	34.36217646615505	3.4542056267138605e-8	1.254458043444202e-6	Medium	COG0673!!!COG1063	GC_00006233, GC_00019080, GC_00037661	0.6689	0	0.2	151	15	15
Uncharacterized protein RhuM, Salmonella virulence factor (RhuM)	34.15962334763748	3.822363964662882e-8	1.3481183675368703e-6	Medium	COG3943	GC_00006633, GC_00071091	0.6159	0	0.0667	151	15	15
Predicted outer membrane lipoprotein	34.15962334763748	3.822363964662882e-8	1.3481183675368703e-6	Medium	COG4890	GC_00006454	0.6159	0	0.0667	151	15	15
Predicted dioxygenase, 2-oxoglutarate and Fe-dependent (2OG-Fe) dioxygenase superfamily (PDB:3PL0)	34.15962334763748	3.822363964662882e-8	1.3481183675368703e-6	Medium	COG4340	GC_00006568, GC_00007387, GC_00041746	0.6159	0.0667	0	151	15	15
Myo-inositol-1-phosphate synthase (INO1) (PDB:1GR0)	34.05021811395575	4.037281974530737e-8	1.4103571697694043e-6	Small, Large	COG1260	GC_00008050	0.1192	0.6667	0.4667	151	15	15
Acyl-carrier protein (citrate lyase gamma subunit) (CitD)	33.975203236789206	4.191585760903772e-8	1.4504468463202865e-6	Large	COG3052	GC_00007821, GC_00059437	0.1523	0	0.7333	151	15	15
Predicted phosphoesterase YmaB, NUDIX family (YmaB) (PDB:3E57)	33.76417150467957	4.658041084441901e-8	1.5744024753941427e-6	Small	COG4112	GC_00034728, GC_00061194	0	0.2	0	151	15	15
Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family (VOC) (PDB:3OXH) (PUBMED:31710815)	33.76417150467946	4.6580410844421494e-8	1.5744024753941427e-6	Medium, Large	COG3324	GC_00003215, GC_00004664, GC_00005510, GC_00006358, GC_00010595, GC_00011707, GC_00013636, GC_00013861, GC_00014142, GC_00017687, GC_00018844, GC_00021335, GC_00022296, GC_00028424, GC_00029957, GC_00032006, GC_00039033, GC_00040137, GC_00040786, GC_00047824, GC_00049372, GC_00052570, GC_00052850, GC_00055103, GC_00055408, GC_00056102, GC_00057062, GC_00060432, GC_00064244, GC_00069384, GC_00072619	1	0.8	1	151	15	15
6-phosphofructokinase (PfkA) (PDB:1KZH)	33.75537737903817	4.67856787944279e-8	1.5744024753941427e-6	Medium, Large	COG0205	GC_00000362, GC_00016812, GC_00052266	0.8013	0.1333	0.8667	151	15	15
Glutaminase (GlsA) (PDB:1MKI)	33.6419131581924	4.951666392392388e-8	1.6511556661177527e-6	Medium	COG2066	GC_00004903, GC_00023093, GC_00041400	0.8344	0.3333	0.3333	151	15	15
Esterase/lipase superfamily enzyme	33.48646775515983	5.351874462533332e-8	1.7610571880736388e-6	Small, Large	COG4782	GC_00007046, GC_00011866, GC_00014353, GC_00014354, GC_00015198, GC_00015414, GC_00023990, GC_00025701, GC_00026819, GC_00036374, GC_00037835, GC_00042563, GC_00047348, GC_00048105, GC_00057343, GC_00059554, GC_00069524	0.3377	0.8	1	151	15	15
Na+/phosphate symporter (NptA)	33.47699843257335	5.377273856713401e-8	1.7610571880736388e-6	Small, Large	COG1283	GC_00006895, GC_00008936, GC_00048893	0.3576	0.9333	0.9333	151	15	15
Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)!!!Spore maturation protein CgeB	33.28930107447279	5.9063627777077875e-8	1.917215811383377e-6	Medium	COG2226!!!COG4641	GC_00005227, GC_00043285	0.7351	0	0.6	151	15	15
LPS sulfotransferase NodH (LpsS) (PDB:1TEX)	33.2712301021643	5.9599714623543376e-8	1.91764695823822e-6	Medium	COG4424	GC_00005783, GC_00042806	0.6689	0.0667	0.1333	151	15	15
Tellurite resistance protein TehA and related permeases (TehA) (PDB:3M71)	33.23506811294899	6.068713796496632e-8	1.9189691556508315e-6	Large	COG1275	GC_00013984, GC_00046023, GC_00049774, GC_00052120	0.0331	0	0.4	151	15	15
Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!Predicted extracellular nuclease	33.23506811294899	6.068713796496632e-8	1.9189691556508315e-6	Large	COG0438!!!COG2374	GC_00014910, GC_00036787, GC_00037249	0.0331	0	0.4	151	15	15
Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)	33.142574705031464	6.355962771505341e-8	1.992621491100991e-6	Medium	COG0438!!!COG1216	GC_00005207, GC_00033045, GC_00034325, GC_00037778, GC_00043412, GC_00067076	0.7881	0.2	0.3333	151	15	15
C-terminal domain of the GTP 3',8'-cyclase MoaA, radical SAM superfamily (molybdenum cofactor biosynthesis) (MoaA2) (PUBMED:25941396)	33.10285816024093	6.483442788714456e-8	2.015361707542765e-6	Small, Large	COG1964	GC_00007886, GC_00026258	0.1457	0.7333	0.4667	151	15	15
C-terminal processing protease CtpA/Prc, contains a PDZ domain (CtpA) (PDB:6IQU)!!!CubicO group peptidase, beta-lactamase class C family (AmpC) (PDB:1BLS)	32.84106253424588	7.390160674160916e-8	2.2779083489766587e-6	Medium	COG0793!!!COG1680	GC_00006843, GC_00010429, GC_00014525, GC_00026576	0.6954	0	0.3333	151	15	15
Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family (OCDMu) (PDB:2I99)	32.76334871948366	7.68297148325419e-8	2.3484282833813643e-6	Small, Large	COG2423	GC_00009656, GC_00009675, GC_00014418, GC_00015596, GC_00018166, GC_00020399, GC_00021705, GC_00034048, GC_00038404, GC_00049382, GC_00061930, GC_00068106	0.1921	0.3333	0.8667	151	15	15
N-acetylmuramic acid 6-phosphate (MurNAc-6-P) etherase (MurQ) (PDB:4S12) (PUBMED:10095793)	32.74500181920437	7.753775099278222e-8	2.350483228442357e-6	Medium, Large	COG2103	GC_00005903, GC_00007691	0.7947	0.1333	0.8667	151	15	15
Sphingosine uptake channel SphA-related outer membrane channel (SphA) (PDB:4RL8) (PUBMED:26149193)	32.713274576210146	7.87775886834058e-8	2.3684934040223973e-6	Medium, Large	COG4313	GC_00000310, GC_00008197, GC_00016578, GC_00018204, GC_00018865, GC_00021884, GC_00041360, GC_00045145, GC_00069264, GC_00072132, GC_00078365	0.9272	0.4667	1	151	15	15
ABC-type branched-chain amino acid transport system, ATPase component LivF (LivF) (PDB:1JI0) (PUBMED:26527648;32250026)!!!ABC-type branched-chain amino acid transport system, ATPase component LivG (LivG) (PDB:1G9X) (PUBMED:29514851)	32.494271985917734	8.789385066926293e-8	2.6136448606312703e-6	Large	COG0410!!!COG0411	GC_00015970, GC_00037494	0.0199	0	0.3333	151	15	15
Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!ABC-type polysaccharide/teichoic acid/polyol phosphate export permease (TagG) (PDB:6JBH)	32.4837701605435	8.835658743682594e-8	2.6136448606312703e-6	Medium, Large	COG0438!!!COG1682	GC_00000376, GC_00030902	0.7682	0.0667	0.7333	151	15	15
L-lactate utilization protein LutC, contains LUD domain (LutC) (PDB:2G40)	32.37281080843078	9.33971128167727e-8	2.71889372866605e-6	Medium	COG1556	GC_00006227, GC_00060920	0.6291	0	0.1333	151	15	15
L-lactate utilization protein LutB, contains a ferredoxin-type domain (LutB)	32.37281080843078	9.33971128167727e-8	2.71889372866605e-6	Medium	COG1139	GC_00006112	0.6291	0	0.1333	151	15	15
Uncharacterized Zn-ribbon-containing protein (PhnA) (PDB:2AKK)	32.325613023096	9.562739383465765e-8	2.7618998471301125e-6	Medium	COG2824	GC_00004822, GC_00011286	0.894	0.5333	0.4	151	15	15
Chemotaxis protein histidine kinase CheA (CheA) (PDB:1B3Q)	32.25405156313057	9.911096245816763e-8	2.840148517941866e-6	Medium	COG0643	GC_00004965, GC_00030824, GC_00038076, GC_00075142	0.7947	0.1333	0.5333	151	15	15
Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains	32.20069499007324	1.0179065903594533e-7	2.8943266460763374e-6	Medium, Large	COG2905	GC_00003746, GC_00008970, GC_00009696, GC_00037534, GC_00045379, GC_00056471, GC_00066696	0.947	0.5333	1	151	15	15
L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D (AnsA) (PDB:1ZQ1)	32.14799249032867	1.0450862373523062e-7	2.9487510143140455e-6	Medium	COG0252	GC_00005147, GC_00009244, GC_00018269, GC_00030002, GC_00039569, GC_00045268, GC_00051466, GC_00060867, GC_00070767	0.8675	0.2667	0.7333	151	15	15
Predicted nucleotidyltransferase, MJ0604 family (MJ0604) (PDB:5YEP)	31.98513641162304	1.1337462843667502e-7	3.1744895962269004e-6	Medium	COG1708	GC_00005287, GC_00027606, GC_00049712, GC_00054227	0.7815	0.2	0.3333	151	15	15
Ribosomal protein S2 (RpsB) (PDB:4V4H)!!!Predicted 5' DNA nuclease, flap endonuclease-1-like, helix-3-turn-helix (H3TH) domain (H3TH)	31.83981792993168	1.219189978268682e-7	3.387870333552671e-6	Small, Large	COG0052!!!COG3743	GC_00006237	0.4371	1	1	151	15	15
Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor) (SpoIIAA) (PDB:1AUZ)!!!UDP-N-acetyl-D-mannosaminuronic acid transferase, WecB/TagA/CpsF family (WecG)	31.822992477392965	1.2294899545191482e-7	3.3908038745685985e-6	Medium	COG1366!!!COG1922	GC_00006332, GC_00012360, GC_00015889, GC_00042984	0.702	0	0.4	151	15	15
Fructoselysine-6-P-deglycase FrlB or related protein, duplicated sugar isomerase (SIS) domain (AgaS) (PDB:3C3J) (PUBMED:16153181)	31.785001164280317	1.2530681561625894e-7	3.43004029612267e-6	Medium, Large	COG2222	GC_00005899, GC_00008590, GC_00014800	0.7881	0.1333	0.8667	151	15	15
Hydroxylamine reductase (hybrid-cluster protein) (Hcp) (PDB:1E1D)	31.761464981152898	1.2679014857642616e-7	3.444935296135786e-6	Small, Large	COG1151	GC_00007563	0.1656	0.3333	0.8	151	15	15
Uncharacterized conserved protein, YiaAB domain (YiaAB)	31.721432432145193	1.2935358462814262e-7	3.4887422677649058e-6	Small, Large	COG4298	GC_00006982	0.2781	0.9333	0.6667	151	15	15
Binding protein subunit MlaB of the ABC-type intermembrane phospholipid transporter Mla, contains STAS domain (MlaB)	31.694556746018034	1.3110354934033647e-7	3.5101300655500303e-6	Medium	COG3113	GC_00005097, GC_00062888	0.7815	0.1333	0.4667	151	15	15
Competence protein CoiA, contains predicted nuclease domain (CoiA)	31.5492549968891	1.40982862227026e-7	3.7472836133966044e-6	Medium	COG4469	GC_00006646, GC_00015268, GC_00033942, GC_00064963	0.6556	0.1333	0.0667	151	15	15
Acyl-CoA thioesterase FadM (FadM) (PDB:2FUJ)!!!Site-specific DNA recombinase SpoIVCA/DNA invertase PinE (SpoIVCA) (PDB:1GDT)	31.50497940848247	1.4413871473945837e-7	3.77643432617385e-6	Medium	COG0824!!!COG1961	GC_00005543, GC_00033425, GC_00035691	0.702	0.2667	0.0667	151	15	15
Osmotically-inducible protein OsmY, contains BON domain (OsmY) (PUBMED:12878000)!!!Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains	31.50497940848245	1.441387147394599e-7	3.77643432617385e-6	Small, Large	COG2823!!!COG2905	GC_00006235, GC_00016216	0.298	0.7333	0.9333	151	15	15
Predicted restriction endonuclease	31.379422866997363	1.5347756553013453e-7	3.992593690528606e-6	Medium	COG3440	GC_00006260, GC_00010759, GC_00015757, GC_00021789, GC_00021790, GC_00021794, GC_00037166, GC_00042182, GC_00042538, GC_00047250, GC_00052692, GC_00054657, GC_00056648, GC_00062390, GC_00067344, GC_00068482, GC_00070993, GC_00074407, GC_00078176	0.7947	0.2	0.4	151	15	15
Uncharacterized membrane protein YeiB (YeiB)	31.291147807068885	1.6040340660809514e-7	4.143378136890796e-6	Medium	COG2311	GC_00005054, GC_00028386	0.755	0.0667	0.5333	151	15	15
Heme/copper-type cytochrome/quinol oxidase, subunit 2 (CyoA) (PDB:1CYW)!!!Cytochrome c1 (CYT1)	31.22611036684635	1.657052575937411e-7	4.231041249371459e-6	Small, Large	COG1622!!!COG2857	GC_00008728, GC_00022136	0.0993	0.6	0.4	151	15	15
Phosphopentomutase (DeoB) (PDB:3UN2)	31.221301941509136	1.6610412756529176e-7	4.231041249371459e-6	Small	COG1015	GC_00008485	0.1126	0.6667	0.1333	151	15	15
ABC-type uncharacterized transport system, periplasmic component (PDB:3LFT)!!!Signal transduction histidine kinase regulating C4-dicarboxylate transport system (PDB:4GCZ)	31.14713982532701	1.7237906605866255e-7	4.360595960711547e-6	Medium, Large	COG2984!!!COG4191	GC_00004095, GC_00005620, GC_00017227	0.9073	0.4	0.9333	151	15	15
BadF-type ATPase, related to human N-acetylglucosamine kinase (BadF) (PUBMED:17954692;12761179;12761179)	30.87238991499226	1.9776330364417944e-7	4.952146507241738e-6	Medium, Large	COG2971	GC_00005843, GC_00008689, GC_00019801	0.7815	0.1333	0.8667	151	15	15
Alpha-L-arabinofuranosidase (AbfA) (PDB:1PZ2)	30.865317368296783	1.9846388674060398e-7	4.952146507241738e-6	Medium	COG3534	GC_00005806, GC_00079001	0.6755	0.0667	0.2	151	15	15
Uncharacterized conserved protein, contains a C-terminal ATPase domain	30.8436006367468	2.0063062253196115e-7	4.972385969238064e-6	Small, Large	COG4913	GC_00010134, GC_00011950, GC_00012993, GC_00023235, GC_00044814, GC_00047327, GC_00061957	0.0927	0.3333	0.6	151	15	15
DNA-adenine methylase (Dam) (PDB:4GOL)	30.721005220475732	2.133135665740444e-7	5.251235987876476e-6	Medium	COG0338	GC_00006306, GC_00033434, GC_00040331, GC_00042668, GC_00062940, GC_00077780	0.649	0.0667	0.1333	151	15	15
Ethanolamine utilization protein EutQ, cupin superfamily (function unknown) (EutQ) (PDB:2PYT)	30.60385011625142	2.261821795663692e-7	5.406378652099271e-6	Medium	COG4766	GC_00006114, GC_00011793	0.6954	0.2667	0.0667	151	15	15
PAS domain (PAS) (PDB:2MWG)!!!Two-component sensor histidine kinase, HisKA and HATPase domains (PDB:4R39)	30.603850116251415	2.2618217956636963e-7	5.406378652099271e-6	Small, Large	COG2202!!!COG3920	GC_00009431, GC_00009704, GC_00009754, GC_00010413, GC_00011374, GC_00017055, GC_00018669, GC_00019523, GC_00019938, GC_00022147, GC_00024080, GC_00027274, GC_00030345, GC_00031996, GC_00039019, GC_00044317, GC_00045026, GC_00047057, GC_00053269, GC_00057860, GC_00060237, GC_00064907, GC_00070709, GC_00076837	0.3046	0.7333	0.9333	151	15	15
ATP-dependent helicase YprA,  contains C-terminal metal-binding DUF1998 domain (YprA)	30.603850116251408	2.2618217956637043e-7	5.406378652099271e-6	Medium	COG1205	GC_00006295, GC_00030223, GC_00031776, GC_00032059, GC_00035556, GC_00039791, GC_00042222, GC_00046845, GC_00048269, GC_00049268, GC_00049591, GC_00062574, GC_00063419, GC_00066037, GC_00068765, GC_00079072	0.6954	0.0667	0.2667	151	15	15
Ribosomal protein S12 methylthiotransferase accessory factor YcaO (YcaO) (PDB:4BS9)	30.596760601184037	2.2698536325607062e-7	5.406378652099271e-6	Medium, Large	COG1944	GC_00003768, GC_00010248, GC_00017267, GC_00018100, GC_00024442, GC_00028154, GC_00062043, GC_00063430	0.894	0.4	1	151	15	15
Predicted acyl esterase (PDB:1JU3)	30.596760601183988	2.2698536325607628e-7	5.406378652099271e-6	Large	COG2936	GC_00009726, GC_00017391, GC_00026915, GC_00028008, GC_00039944, GC_00045493, GC_00048162, GC_00049579	0.106	0	0.6	151	15	15
UDP-N-acetylglucosamine 2-epimerase (WecB) (PDB:1F6D) (PUBMED:26641313;30389844)	30.487066177829416	2.397826164342164e-7	5.67433959406907e-6	Medium	COG0381	GC_00006140, GC_00009646, GC_00011134, GC_00011433, GC_00011905, GC_00012957, GC_00015228, GC_00015415, GC_00018970, GC_00021288, GC_00023298, GC_00023366, GC_00024474, GC_00032943, GC_00043807, GC_00049356, GC_00052943, GC_00053136	0.9536	0.5333	0.8	151	15	15
DNA-binding transcriptional regulator ModE (molybdenum-dependent) (ModE) (PDB:1B9M) (PUBMED:19779461)	30.433744960056547	2.462613466896455e-7	5.753417959602694e-6	Medium	COG2005	GC_00004194	0.8874	0.3333	0.8	151	15	15
Predicted transcriptional regulator, contains HTH domain (PDB:3LMM)	30.43374496005654	2.462613466896464e-7	5.753417959602694e-6	Small, Large	COG2865	GC_00019467, GC_00022528, GC_00022621, GC_00022967, GC_00023923, GC_00026544, GC_00030816, GC_00033064, GC_00036130, GC_00042785, GC_00044850, GC_00049819, GC_00052445, GC_00052733, GC_00054246, GC_00055089, GC_00057905, GC_00059361, GC_00060209, GC_00062339, GC_00062797, GC_00064872, GC_00069594, GC_00074652, GC_00075081, GC_00075497, GC_00075732, GC_00079159	0.1126	0.2	0.6667	151	15	15
Beta-glucanase, GH16 family (BglS) (PDB:1AJK)	30.380618953704488	2.5289044218378804e-7	5.838713846051163e-6	Small, Large	COG2273	GC_00007213, GC_00009548, GC_00015900, GC_00017569, GC_00021951, GC_00033116, GC_00036532, GC_00051388, GC_00063879, GC_00072282	0.298	0.8	0.8667	151	15	15
Predicted restriction endonuclease, HNH family (PDB:6GHC)	30.37899529675082	2.5309582920450787e-7	5.838713846051163e-6	Small, Large	COG3183	GC_00017798, GC_00028049, GC_00032480, GC_00032892, GC_00032935, GC_00033343, GC_00050943, GC_00053576, GC_00056312, GC_00057279, GC_00063279, GC_00065400, GC_00067520, GC_00076034	0.0662	0.1333	0.5333	151	15	15
Na+/glutamate symporter (GltS)	30.36435736594865	2.549550242142661e-7	5.844843930112051e-6	Medium	COG0786	GC_00006855, GC_00028286, GC_00033330	0.5828	0.0667	0	151	15	15
Multisubunit Na+/H+ antiporter, MnhF subunit (MnhF) (PDB:6CFW)	30.24140245683882	2.71120835383878e-7	6.13871126042015e-6	Medium	COG2212	GC_00005475, GC_00011267, GC_00022555, GC_00049994, GC_00074255	0.7881	0.2	0.4	151	15	15
Multisubunit Na+/H+ antiporter, MnhG subunit (MnhG) (PDB:6CFW)	30.24140245683882	2.71120835383878e-7	6.13871126042015e-6	Medium	COG1320	GC_00005386, GC_00011250, GC_00042189, GC_00075745	0.7881	0.2	0.4	151	15	15
Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase (Acs) (PDB:4B2O) (PUBMED:14638756)!!!Thioesterase domain of type I polyketide synthase or non-ribosomal peptide synthetase (EntF2) (PDB:5JA1)	30.202193600006595	2.7648844696003814e-7	6.2218381806712875e-6	Medium	COG0365!!!COG3319	GC_00005958	0.6358	0	0.2	151	15	15
Response regulator c-di-GMP phosphodiesterase, RpfG family, contains REC and HD-GYP domains (RpfG)	30.065930730694838	2.959825416282561e-7	6.5987431432046215e-6	Medium	COG3437	GC_00005078	0.7815	0.1333	0.5333	151	15	15
NAD-specific glutamate dehydrogenase (Gdh2)	30.048090809868274	2.9863450429987936e-7	6.5987431432046215e-6	Medium, Large	COG2902	GC_00004328, GC_00056112	0.8411	0.2667	0.9333	151	15	15
Predicted deacylase (PDB:3CDX)	30.048090809868256	2.98634504299882e-7	6.5987431432046215e-6	Large	COG3608	GC_00009947, GC_00010877, GC_00019036, GC_00020313, GC_00024157, GC_00034234, GC_00036913, GC_00038049, GC_00043138, GC_00051401, GC_00053956, GC_00055863	0.1589	0.0667	0.7333	151	15	15
Tetratricopeptide (TPR) repeat (TPR) (PDB:3AS4)!!!ADP-heptose:LPS heptosyltransferase (RfaF) (PDB:1PSW)	29.79972522845122	3.381207981873265e-7	7.426509507491698e-6	Medium	COG0457!!!COG0859	GC_00000476, GC_00005350, GC_00008479, GC_00015480, GC_00018142, GC_00021627, GC_00022033, GC_00025735, GC_00028516, GC_00031466, GC_00031748, GC_00036447, GC_00069955, GC_00071565	0.8477	0.2667	0.6	151	15	15
Chitinase, GH19 family (GH19) (PDB:1WVU) (PUBMED:17010167)	29.642822086251467	3.65715165405358e-7	7.984781111350316e-6	Large	COG3179	GC_00012864, GC_00035776, GC_00053693, GC_00058810, GC_00063922, GC_00071541	0.0596	0	0.4667	151	15	15
