COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Medium	p_Small	p_Large	N_Medium	N_Small	N_Large
Predicted RNA binding protein YcfA, dsRBD-like fold, HicA-like mRNA interferase family (YcfA) (PDB:1WHZ) (PUBMED:16895922)	2.616855875054558	0.27024456395850316	0.7045181667375904	Medium	COG1724	GC_00007152, GC_00020466, GC_00032531, GC_00046597, GC_00075292	0.3841	0.2667	0.2	151	15	15
GTP cyclohydrolase II (RibA) (PDB:2BZ0)	2.6104672041261305	0.2711091959803228	0.7057690069949077	Medium	COG0807	GC_00003642, GC_00018692, GC_00032867, GC_00075501	0.947	0.8667	0.8667	151	15	15
Uncharacterized membrane protein YoaT, DUF817 family (YoaT)	2.6104672041261283	0.27110919598032307	0.7057690069949077	Small, Large	COG3739	GC_00011732	0.053	0.1333	0.1333	151	15	15
Metal-responsive transcriptional regulator, contains CopG/Arc/MetJ DNA-binding domain (NikR) (PDB:1Q5V)	2.593699841862502	0.2733916433179843	0.7112060621917492	Medium, Large	COG0864	GC_00004097, GC_00018999	0.8609	0.7333	0.9333	151	15	15
Glucose-1-phosphate adenylyltransferase (ADP-glucose pyrophosphorylase) (GlgC) (PDB:5MNI) (PUBMED:27545622)	2.57973980465061	0.27530659750817954	0.7156800848051046	Medium	COG0448	GC_00003803	0.8808	0.8667	0.7333	151	15	15
tRNA-binding EMAP/Myf domain (EMAP) (PDB:1MKH)	2.55566195806899	0.2786410236945612	0.7228113683957936	Medium, Large	COG0073	GC_00004350, GC_00009340, GC_00021503, GC_00063397	0.9205	0.8	0.9333	151	15	15
2-hydroxy fatty acid dioxygenase MPO1 (alpha-oxidation of fatty acids) (MPO1) (PUBMED:30530523)	2.55566195806899	0.2786410236945612	0.7228113683957936	Medium, Large	COG4539	GC_00003593, GC_00017230, GC_00030998	0.9205	0.8	0.9333	151	15	15
Kef-type K+ transport system, membrane component KefB (KefB) (PDB:4BWZ)	2.5556619580689866	0.2786410236945617	0.7228113683957936	Large	COG0475	GC_00016574, GC_00018698, GC_00020674, GC_00038310, GC_00077742, GC_00078262	0.0795	0.0667	0.2	151	15	15
DNA-binding transcriptional regulator DnrI/AfsR/EmbR, SARP family, contains BTAD domain (DnrI) (PDB:2FEZ) (PUBMED:12625841)!!!TolB amino-terminal domain (function unknown) (TolBN) (PDB:1C5K) (PUBMED:10673426;24821816)	2.5162387901541226	0.2841879695690343	0.736679485780366	Small, Large	COG3629!!!COG5616	GC_00009698, GC_00013675, GC_00017333, GC_00028164, GC_00075084	0.1788	0.2667	0.3333	151	15	15
Steroid 5-alpha reductase family enzyme	2.4854517486589414	0.2885964670707263	0.7475789839091977	Medium, Small	COG3752	GC_00006926, GC_00029463	0.457	0.5333	0.2667	151	15	15
Surface polysaccharide O-acyltransferase WecH (WecH) (PUBMED:16936038)	2.4839410843369505	0.2888145356105774	0.7476158903455172	Small, Large	COG3274	GC_00007329, GC_00048495	0.2583	0.4	0.4	151	15	15
Predicted enzyme of the cupin superfamily (PDB:1LKN)	2.472696885429766	0.2904428526445916	0.7497145555949072	Medium	COG3450	GC_00003379, GC_00008458, GC_00031222, GC_00067040, GC_00075842	0.9007	0.8	0.8	151	15	15
Uricase (urate oxidase) (UriC)	2.4726968854297637	0.2904428526445919	0.7497145555949072	Small, Large	COG3648	GC_00009352	0.0993	0.2	0.2	151	15	15
Iron uptake system EfeUOB, periplasmic (or lipoprotein) component EfeO/EfeM (EfeO) (PDB:3AT7)	2.4726968854297637	0.2904428526445919	0.7497145555949072	Small, Large	COG2822	GC_00009349	0.0993	0.2	0.2	151	15	15
Thioesterase domain of type I polyketide synthase or non-ribosomal peptide synthetase (EntF2) (PDB:5JA1)	2.4726968854297637	0.2904428526445919	0.7497145555949072	Small, Large	COG3319	GC_00014076, GC_00018639, GC_00021314, GC_00043652, GC_00054036, GC_00056795, GC_00060777, GC_00065305, GC_00070091, GC_00071256	0.0993	0.2	0.2	151	15	15
Zinc transporter ZupT (ZupT) (PDB:5TSA)	2.35778350180505	0.3076194687579294	0.7929361991595856	Small	COG0428	GC_00015712, GC_00034630, GC_00035430	0.0596	0.1333	0	151	15	15
Predicted esterase of the alpha/beta hydrolase fold (YdeN) (PDB:1UXO) (PUBMED:15159570)	2.3577835018050406	0.30761946875793084	0.7929361991595856	Medium, Large	COG3545	GC_00003715, GC_00009137, GC_00020301, GC_00033154, GC_00075023	0.9404	0.8667	1	151	15	15
Predicted naringenin-chalcone synthase (BH0617) (PDB:1BI5)	2.3384165196376387	0.3106127685466216	0.8000896313405956	Small, Large	COG3424	GC_00008466, GC_00018606, GC_00078956	0.1722	0.2	0.3333	151	15	15
