COG20_CATEGORY	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Medium	p_Small	p_Large	N_Medium	N_Small	N_Large
Cell wall/membrane/envelope biogenesis!!!Energy production and conversion!!!General function prediction only	8.634905183207986	0.01333380696750972	0.04651328011921995	Medium	M!!!C!!!R	GC_00000411, GC_00034345, GC_00045194, GC_00049677, GC_00062318, GC_00072182	0.8278	0.6667	0.5333	151	15	15
Replication, recombination and repair!!!Defense mechanisms	8.2536782805694	0.016133794973377674	0.055847751830922714	Small, Large	L!!!V	GC_00038322, GC_00049692, GC_00064038, GC_00078363	0.0132	0.0667	0.1333	151	15	15
Energy production and conversion!!!Inorganic ion transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism	7.519519572200523	0.023289334124794295	0.07939545724361706	Medium, Large	C!!!P!!!Q	GC_00003473	0.9205	0.7333	1	151	15	15
Signal transduction mechanisms!!!Transcription!!!Signal transduction mechanisms!!!Signal transduction mechanisms	7.51951957220052	0.023289334124794336	0.07939545724361706	Large	T!!!K!!!T!!!T	GC_00015318, GC_00017602, GC_00028827, GC_00032180, GC_00060322, GC_00063525	0.0795	0	0.2667	151	15	15
Posttranslational modification, protein turnover, chaperones!!!Intracellular trafficking, secretion, and vesicular transport	7.212743397354684	0.027150177396639243	0.09117596886931202	Medium	O!!!U	GC_00003264, GC_00009210, GC_00009669, GC_00010325, GC_00027974, GC_00040569	0.9338	0.7333	0.8667	151	15	15
Energy production and conversion!!!Transcription	7.212743397354659	0.02715017739663958	0.09117596886931202	Small, Large	C!!!K	GC_00010464, GC_00032977	0.0662	0.1333	0.2667	151	15	15
Replication, recombination and repair!!!Posttranslational modification, protein turnover, chaperones	7.1276744728370804	0.028329907324822375	0.09443302441607458	Large	L!!!O	GC_00015527, GC_00057116, GC_00071119, GC_00076641	0.0464	0	0.2	151	15	15
Secondary metabolites biosynthesis, transport and catabolism!!!Energy production and conversion	7.004444257983326	0.030130355441134744	0.09825115904717852	Large	Q!!!C	GC_00014383, GC_00026473, GC_00032201	0.0199	0	0.1333	151	15	15
Function unknown!!!Defense mechanisms	7.004444257983326	0.030130355441134744	0.09825115904717852	Large	S!!!V	GC_00018989	0.0199	0	0.1333	151	15	15
Posttranslational modification, protein turnover, chaperones!!!Cell wall/membrane/envelope biogenesis!!!Posttranslational modification, protein turnover, chaperones	7.004444257983326	0.030130355441134744	0.09825115904717852	Large	O!!!M!!!O	GC_00018839	0.0199	0	0.1333	151	15	15
Posttranslational modification, protein turnover, chaperones!!!Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones	6.755108920063479	0.03413082104224019	0.11049546380581356	Small, Large	O!!!C!!!O	GC_00011901, GC_00067397	0.0397	0.0667	0.2	151	15	15
General function prediction only!!!Defense mechanisms	6.693200090360728	0.03520384233185355	0.11315520749524356	Medium	R!!!V	GC_00004395	0.8146	0.6	0.6	151	15	15
Amino acid transport and metabolism!!!Translation, ribosomal structure and biogenesis!!!Cell wall/membrane/envelope biogenesis	6.456595589537076	0.03962489111128973	0.12557183802873503	Small	E!!!J!!!M	GC_00010391	0.0728	0.2667	0.0667	151	15	15
Coenzyme transport and metabolism!!!Energy production and conversion!!!Energy production and conversion!!!Lipid transport and metabolism	6.456595589537076	0.03962489111128973	0.12557183802873503	Small	H!!!C!!!C!!!I	GC_00010082	0.0728	0.2667	0.0667	151	15	15
Amino acid transport and metabolism!!!Lipid transport and metabolism	6.390492937009727	0.040956429662012926	0.1279888426937904	Small, Large	E!!!I	GC_00018334, GC_00026021, GC_00032155, GC_00042742, GC_00056029	0.0464	0.1333	0.2	151	15	15
Energy production and conversion!!!Energy production and conversion!!!General function prediction only	6.390492937009727	0.040956429662012926	0.1279888426937904	Small, Large	C!!!C!!!R	GC_00012113, GC_00069483	0.0464	0.2	0.1333	151	15	15
Cell wall/membrane/envelope biogenesis!!!Cell wall/membrane/envelope biogenesis!!!Cell wall/membrane/envelope biogenesis	6.0542653443206245	0.04845437370550157	0.1503756425343152	Small, Large	M!!!M!!!M	GC_00017020	0.0199	0.0667	0.1333	151	15	15
Transcription!!!Coenzyme transport and metabolism	5.814978239214345	0.054612683776691526	0.16832676506514513	Small, Large	K!!!H	GC_00008870, GC_00012383, GC_00012488, GC_00018600, GC_00020920, GC_00027695, GC_00033269, GC_00042845, GC_00047662, GC_00050398, GC_00052065, GC_00055838	0.2252	0.4	0.4667	151	15	15
Inorganic ion transport and metabolism!!!Function unknown!!!Function unknown	5.652987770066733	0.05922012266105181	0.18006118376671293	Small, Large	P!!!S!!!S	GC_00012106	0.0464	0.2	0.0667	151	15	15
Nucleotide transport and metabolism!!!Inorganic ion transport and metabolism	5.6529877700667175	0.059220122661052255	0.18006118376671293	Medium	F!!!P	GC_00003339	0.9536	0.8	0.9333	151	15	15
Energy production and conversion!!!Energy production and conversion!!!Energy production and conversion	5.5486248198473875	0.062392362313283115	0.18843330899984834	Small, Large	C!!!C!!!C	GC_00011331, GC_00028097, GC_00036536, GC_00054302	0.0795	0.1333	0.2667	151	15	15
Replication, recombination and repair!!!Mobilome: prophages, transposons	5.420600974418112	0.06651681625925611	0.19311333752687385	Medium, Large	L!!!X	GC_00004668, GC_00006022, GC_00006714, GC_00007410, GC_00007989, GC_00008853, GC_00011129, GC_00011605, GC_00014653, GC_00015277, GC_00015502, GC_00016195, GC_00016426, GC_00016712, GC_00016765, GC_00017013, GC_00018456, GC_00018905, GC_00018948, GC_00018967, GC_00020927, GC_00022237, GC_00023055, GC_00023557, GC_00023976, GC_00024095, GC_00024757, GC_00025417, GC_00025570, GC_00026409, GC_00027174, GC_00027194, GC_00027884, GC_00028148, GC_00028820, GC_00031223, GC_00031445, GC_00031587, GC_00031857, GC_00032132, GC_00032472, GC_00032662, GC_00033661, GC_00033837, GC_00034044, GC_00034072, GC_00034080, GC_00035378, GC_00036427, GC_00036623, GC_00037482, GC_00041313, GC_00042027, GC_00042028, GC_00042029, GC_00043349, GC_00043605, GC_00044139, GC_00045333, GC_00046201, GC_00047064, GC_00047217, GC_00048637, GC_00051680, GC_00054163, GC_00055312, GC_00056880, GC_00056970, GC_00058194, GC_00059076, GC_00059454, GC_00060460, GC_00063596, GC_00066966, GC_00067412, GC_00069242, GC_00070954, GC_00072317, GC_00073666, GC_00073860, GC_00074477, GC_00074781, GC_00076503, GC_00076996, GC_00077255, GC_00078320, GC_00078883	0.9735	0.8667	1	151	15	15
Cell wall/membrane/envelope biogenesis!!!Cell motility!!!Extracellular structures	5.420600974418102	0.06651681625925643	0.19311333752687385	Small	M!!!N!!!W	GC_00019971, GC_00053511, GC_00056452	0.0265	0.1333	0	151	15	15
Signal transduction mechanisms!!!Signal transduction mechanisms!!!Transcription!!!Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms!!!Transcription	5.420600974418102	0.06651681625925643	0.19311333752687385	Small	T!!!T!!!K!!!T!!!T!!!T!!!K	GC_00023938, GC_00023939	0.0265	0.1333	0	151	15	15
Posttranslational modification, protein turnover, chaperones!!!Inorganic ion transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism	5.420600974418102	0.06651681625925643	0.19311333752687385	Small	O!!!P!!!Q	GC_00015996	0.0265	0.1333	0	151	15	15
Cell wall/membrane/envelope biogenesis!!!Translation, ribosomal structure and biogenesis	5.420600974418102	0.06651681625925643	0.19311333752687385	Small	M!!!J	GC_00016087	0.0265	0.1333	0	151	15	15
Carbohydrate transport and metabolism!!!Energy production and conversion	5.4206009744180985	0.06651681625925655	0.19311333752687385	Large	G!!!C	GC_00017051, GC_00037026	0.0265	0	0.1333	151	15	15
Intracellular trafficking, secretion, and vesicular transport!!!Function unknown	4.928434828113605	0.08507539513501904	0.24540979365870874	Large	U!!!S	GC_00015187, GC_00021224, GC_00037202, GC_00063555	0.0662	0	0.2	151	15	15
Mobilome: prophages, transposons!!!Cell cycle control, cell division, chromosome partitioning	4.684557697490965	0.09610837204508213	0.2471358138302157	Large	X!!!D	GC_00033728	0.0066	0	0.0667	151	15	15
Amino acid transport and metabolism!!!Inorganic ion transport and metabolism!!!Amino acid transport and metabolism!!!Inorganic ion transport and metabolism	4.684557697490965	0.09610837204508213	0.2471358138302157	Large	E!!!P!!!E!!!P	GC_00033090	0.0066	0	0.0667	151	15	15
Signal transduction mechanisms!!!Function unknown	4.684557697490965	0.09610837204508213	0.2471358138302157	Large	T!!!S	GC_00053803, GC_00060267, GC_00064653	0.0066	0	0.0667	151	15	15
