COG20_CATEGORY	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Medium	p_Small	p_Large	N_Medium	N_Small	N_Large
Coenzyme transport and metabolism!!!Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism	11.640245451165747	0.002967240966057294	0.014084847319950775	Small, Large	H!!!I!!!Q!!!Q!!!I!!!Q	GC_00020194	0.0066	0.1333	0.0667	151	15	15
Amino acid transport and metabolism!!!Energy production and conversion	11.295933757776787	0.003524675587428103	0.014084847319950775	Medium	E!!!C	GC_00005867, GC_00008502	0.7417	0.4	0.4667	151	15	15
Transcription!!!Function unknown	11.149447324831623	0.0037925234541280263	0.014084847319950775	Medium	K!!!S	GC_00004956, GC_00008098, GC_00009715, GC_00016586, GC_00022194, GC_00026865, GC_00031608, GC_00036753, GC_00056059, GC_00061749, GC_00077127	0.947	0.7333	0.8	151	15	15
Cell wall/membrane/envelope biogenesis!!!Intracellular trafficking, secretion, and vesicular transport	11.128505217476267	0.0038324438101371727	0.014084847319950775	Medium, Large	M!!!U	GC_00002909, GC_00013045, GC_00013514, GC_00014611, GC_00016944, GC_00022134, GC_00026087, GC_00028118, GC_00034774, GC_00036193, GC_00036982, GC_00049531, GC_00056143, GC_00065415, GC_00072384, GC_00077205	1	0.9333	1	151	15	15
Coenzyme transport and metabolism!!!Inorganic ion transport and metabolism	11.128505217476267	0.0038324438101371727	0.014084847319950775	Medium, Large	H!!!P	GC_00003109, GC_00003442, GC_00003804, GC_00004205, GC_00004209, GC_00004478, GC_00004485, GC_00017564, GC_00017612, GC_00041156, GC_00058300, GC_00067227	1	0.9333	1	151	15	15
Cell motility!!!Extracellular structures!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures	11.128505217476146	0.0038324438101374043	0.014084847319950775	Large	N!!!W!!!U!!!W	GC_00056423	0	0	0.0667	151	15	15
Nucleotide transport and metabolism!!!Inorganic ion transport and metabolism!!!Energy production and conversion!!!Lipid transport and metabolism	11.128505217476146	0.0038324438101374043	0.014084847319950775	Large	F!!!P!!!C!!!I	GC_00051164	0	0	0.0667	151	15	15
Posttranslational modification, protein turnover, chaperones!!!Mobilome: prophages, transposons	11.128505217476146	0.0038324438101374043	0.014084847319950775	Large	O!!!X	GC_00058418	0	0	0.0667	151	15	15
Defense mechanisms!!!Transcription!!!Function unknown	11.128505217476146	0.0038324438101374043	0.014084847319950775	Large	V!!!K!!!S	GC_00057456	0	0	0.0667	151	15	15
Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms!!!General function prediction only	11.128505217476146	0.0038324438101374043	0.014084847319950775	Large	T!!!T!!!T!!!R	GC_00045579	0	0	0.0667	151	15	15
