"catalogID","Latitude","Longitude","Evaporation - annual mean","Evaporation - average","Humidity - annual mean relative 3pm","Aridity index - annual mean","Precipitation - annual","Precipitation - annual mean","WorldClim: Precipitation - annual","WorldClim: Precipitation - coldest quarter","WorldClim: Precipitation - driest month","WorldClim: Precipitation - driest quarter","WorldClim: Precipitation - seasonality","WorldClim: Precipitation - warmest quarter","WorldClim: Precipitation - wettest month","WorldClim: Precipitation - wettest quarter","Temperature - annual max mean","Temperature - annual min mean","WorldClim: Temperature - annual mean","WorldClim: Temperature - annual range","WorldClim: Temperature - coldest month min","WorldClim: Temperature - coldest quarter mean","WorldClim: Temperature - diurnal range mean","WorldClim: Temperature - driest quarter mean","WorldClim: Temperature - isothermality","WorldClim: Temperature - seasonality","WorldClim: Temperature - warmest month max","WorldClim: Temperature - warmest quarter mean","WorldClim: Temperature - wettest quarter mean","Lithology - mean age","Carbon - organic","Lithology - fertility","Nutrient status","Gross Primary Productivity","NDVI Mean","Fraction of Photosynthetically Active Radiation","NPP Mean"
12493,-35.8811,149.0083,117.91209,17144,72.00162,0.55037946,50.003334,50.003334,851,206,60,188,12,196,90,247,17.299168,4.56,92,267,-31,29,126,37,47,4918,236,155,61,2.668549,3.975982,4,1.85,0.0329,55,46,13
12495,-35.8766833,149.0097,116.6125,17144,72.34509,0.5729568,51.079998,51.079998,862,210,62,192,12,198,91,250,17.03,4.516667,92,266,-31,28,125,36,46,4913,235,154,61,2.668549,3.9499772,4,1.85,0.0329,55,46,13
12497,-35.8769333,149.01025,115.88292,17144,72.59152,0.5842202,51.603333,51.603333,862,210,62,192,12,198,91,250,16.849167,4.4733334,92,266,-31,28,125,36,46,4913,235,154,61,2.668549,4.0002894,4,1.85,0.0329,55,46,13
12501,-30.20049501,149.596946,170.78542,14236,60.849037,0.31753522,46.963333,46.963333,644,116,34,115,34,235,100,235,28.230833,13.105833,190,301,39,114,145,126,48,5697,340,260,260,0.11193429,0.88042647,6,2,0.0268,46,71,5
12503,-30.20091302,149.59689,170.78542,14236,60.849037,0.31753522,46.963333,46.963333,644,116,34,115,34,235,100,235,28.230833,13.105833,190,301,39,114,145,126,48,5697,340,260,260,0.11193429,0.88042647,6,2,0.0268,46,71,5
12505,-30.20176998,149.596752,170.78542,14236,60.849037,0.31753522,46.963333,46.963333,644,116,34,115,34,235,100,235,28.230833,13.105833,190,301,39,114,145,126,48,5697,340,260,260,0.11193429,0.88042647,6,2,0.0236,46,77,5
12507,-30.20134804,149.596892,170.78542,14236,60.849037,0.31753522,46.963333,46.963333,644,116,34,115,34,235,100,235,28.230833,13.105833,190,301,39,114,145,126,48,5697,340,260,260,0.11193429,0.88042647,6,2,0.0268,46,71,5
12509,-30.201197,149.596931,170.78542,14236,60.849037,0.31753522,46.963333,46.963333,644,116,34,115,34,235,100,235,28.230833,13.105833,190,301,39,114,145,126,48,5697,340,260,260,0.11193429,0.88042647,6,2,0.0268,46,71,5
12511,-30.200924,149.596977,170.78542,14236,60.849037,0.31753522,46.963333,46.963333,644,116,34,115,34,235,100,235,28.230833,13.105833,190,301,39,114,145,126,48,5697,340,260,260,0.11193429,0.88042647,6,2,0.0268,46,71,5
12513,-30.20182304,149.597007,170.78542,14236,60.849037,0.31753522,46.963333,46.963333,644,116,34,115,34,235,100,235,28.230833,13.105833,190,301,39,114,145,126,48,5697,340,260,260,0.11193429,0.88042647,6,2,0.0268,46,71,5
